Binomial,Sun,waterAndSoil,minHtFt,maxHtFt,bloomColor,bloomTime,advantages,germCode,description
Antennaria plantaginifolia,Full; Partial,Medium; Medium-Dry; Dry,1,1,White,April; May; June,Deer Resistant; Recommeded for Landscaping,C(60); D,"A member of the Aster family, Pussytoes are found across much of the eastern half of the continental United States: from Minnesota south to Texas, east to Florida and north to Maine. Other common names in use include Woman's Tobacco and Plantain-leaved Pussytoes. Pussytoes are usually grown for their velvety leaves rather than the white to pale pink flower. The late spring flowers look like tiny cat's feet, thus the name. These flowers will reach up to about a foot in height, but the leaves grow at ground level. Spreading by rhizomes, Pussytoes provide a good ground cover for dry areas such as rock gardens. Parts of the plant are poisonous so deer and rabbits and other small animals won't touch them. A. plantaginifolia and A. neglecta can be difficult to differentiate between with their primary differences existing in their leaves. A. plantaginifolia has broader leaves with 3-5 prominent veins compared to the 1-2 prominent veins seen in the narrower leaves of A. neglecta. A. neglecta also tends to be shorter. Both are host larvae hosts for the American Painted Lady (Vanessa virginensis)."
Aquilegia canadensis,,,,,,,,,
Aralia racemosa,Full; Partial,Wet; Medium-Wet; Medium,4,4,Green,July; August,Star,C(60),"Aralia racemosa matures to 4' in height and has green flowers and attractive reddish purple berries thereafter (not edible).   Spikenard is a large plant for a shaded area, so broad that it could be confused for a woodland shrub, but it is a true herbaceous perennial in that it dies back each fall and emerges from the ground up each spring.   It prefers wet to medium soil and blooms approximately from July to August when many woodland plants have finished flowering.   Spikenard can be difficult to move once the plant is established, so put it in its permanent site if you can.   Since it is a taller, wider plant, be cautious if planting next to smaller plants; it may soon overwhelm them.   Also called American Spikenard, it is a close relative of Wild Sarsaparilla."
Arisaema triphyllum,Partial; Shade,Medium-Wet; Medium; Medium-Dry,2,2,Green,April; May; June; July,Deer Resistant; Recommeded for Landscaping,F; L,"Jack-in-the-Pulpit is an excellent woodland garden plant. It is easy to cultivate and requires very little care once established. It thrives under a variety of conditions, but grows best in rich soil, shady, seasonally wet locations. The ""Jack"" is the spongy cylindrical structure, inside a leaf-like structure that is rolled into a deep cup with an overhanging roof, the ""pulpit"". The plant is said to have a burning, peppery taste so herbivores will not eat it but the berries are a food source for birds. These berries form mid-summer and are smooth, shiny green, 1 cm wide clustered on the thickened spadix, turning a bright red color before the plants go dormant early fall."
Asarum canadense,Shade,Medium-Wet; Medium; Medium-Dry,0.5,0.5,Red,April; May; June,Deer Resistant; Star,E,"Best known for its use as an attractive, low-growing ground cover in a shaded woodland setting, Wild Ginger is also deer-resistant.   It enjoys shaded, moist, somewhat acidic soils and will grow 6"" in height and the large heart-shaped leaves can be 6"" in diameter. The leaves are shiny when fully opened and the stems are hairy.   Unlike many early spring woodland plants,  Wild Ginger will keep its foliage throughout the season; it will not go dormant so it is a good species to plant among the spring ephemerals that do go dormant.   An attractive dark red flower will appear under the plant early spring but will fade fairly quickly. Although unpalatable to deer and other mammals, Many insects are attracted to Wild Ginger, including ants, believed to pollinate the plant.   It's best to propagate this plant by divisions rather than try to get it going from seed. Divide plants in the early spring before they are actively growing or in the fall as they go dormant. Many Native American Indian tribes used the root of the Wild Ginger plant as a seasoning or to treat colds and fevers.   European Settlers to this continent also learned to use the root as a flavor substitute to the tropical ginger they were used to.   Other common names include Woodland Ginger, Ginger Root, Heart Snakeroot, Indian Ginger, Asarabaca, and Catfoot."
Baptisia alba,,,,,,,,,
Beneficial attractant mix,,,,,,,,,
Bromus pubescens,Partial; Shade,Medium-Wet; Medium; Medium-Dry,4,4,,June; July; August,,C(30),"Bromus pubescens (Hairy Wood Chess) is also called Hairy Woodland Brome, and was previously thought to be the same as Bromus purgans or Bromus canadensis.   This Brome is a cool-season grass in that it will actively grow when soil temps are cool.   It likes partial sun to light shade, and medium-wet soil. Bromus pubescens is a taller grass for a shaded area, growing to about 4 feet and is usually clump-forming. Leaf blades of this grass are up to 12 inches long and are dark green in color. Many small mammals and birds feed on the the seeds of Hairy Wood Chess including Wild Turkey and Ruffed Grouse.   Deer and rabbits will like the young foliage."
Carex pensylvatica,,,,,,,,,
Carex radiata,Partial; Shade,Medium-Wet; Medium,1,1,,June,Deer Resistant; Recommeded for Landscaping,C(60),"Pre-order now – This potted tray ships the week of April 26th, 2021. This Sedge forms thick clumps that will stand 12"" tall but then flop over as the seed begins to ripen. The fine texture, clump-forming habit, dark color of the foilage, star-like perigynium, and preference for full to partial shade make Carex radiata a nice addition to any shaded home landscape. Although it can grow in medium-moisture soils, it shoud be an area that never totally dries out. Starting by seed can be tricky and slow; consider plant divisions. As a cool-season species, it actively grows during the spring and fall when soil temperatures are cool. We used to call this Straight-Styled Wood Sedge, as referenced in Flora of Chicago for the straight-styled tip of the female flowers, as opposed to the very similar-looking curled tip of Carex rosea (Curly-styed Wood Sedge), which tolerates drier soils."
Castilleja coccinea,Full; Partial,Medium-Wet; Medium; Medium-Dry,2,2,Red,May; June,Recommeded for Landscaping,C(60); D; K,"Indian Paintbrush is a sought-after prairie beauty that prefers bright sites with medium-dry to medium-wet soils. An annual or biennial, its vivid scarlet bracts nearly hide small, greenish flowers and appear to have been dipped in paint. May and June are the typical bloom time, but because of its annual or biennial nature, you can see flowers blooming as late as October. Indian Paintbrush is one of the larval host plants of the Chalcedon Checkerspot, Edith's Checkerspot and of the Theona Checkerspot. A hemiparasitic plant is one that its roots seek out those of host plants, usually grasses, and tap into them for nutrition (see Germination Code K). If you will be starting Indian Paintbrush in a container, good hosts for many hemiparasitic species include low-growing grasses and sedges like Hairy Grama, Blue Grama, Buffalo Grass, Pennsylvania Sedge, Sweet Grass, and June Grass. With a knife make a 2"" deep cut at the base of the host plant. Sow seed in the cut, making sure seed is not more than 1/8"" deep. If host is transplanted at sowing time, the cut is not needed because damaged roots will be available for attachment by the parasite. You may also try sowing hemiparasitic and host species seeds together at the same time. To add hemiparasitic species to existing sites, scatter seed on soil surface (rake in if seed is large) in late fall."
Ceanothus americanus,Full; Partial,Medium; Medium-Dry; Dry,3,3,White,June; July; August,Pollinators; Recommeded for Landscaping,B; C(60),"A deciduous shrub that grows just 3' tall and is compact and rounded by nature. The dried leaves of New Jersey Tea make a flavorful tea that was popular during the Revolutionary War. Deep tree-like roots of this shrub make it drought-tolerant but difficult to move once established so choose your spot wisely. Light preference is full or part sun and medium-dry soil. Deer and rabbits do like this shrub, especially when it is young so protect new transplants in the early years. The beautiful white flowers attract many pollinators. New Jersey Tea is one of the host plants of the Spring Azure. The boiling water treatment (Germination Code: B) helps break open the hard seed coat. This may happen naturally with freeze/thaw cycles, but better germination can be expected if hot water treatment is done before fall planting outside, or artificial cold-moist stratification in a fridge (Germination Code: C). Potted plants (3-packs and trays of 38) ship when all plants are well-rooted and transit-ready, early May through June. Click here if you prefer to mix/match up to 6 species in a tray."
Chamaemelum nobile,,,,,,,,,
Chrysogonum virginianum,,,,,,,,,
Cimicifuga racemosa,,,,,,,,,
Cinna arundinacea,Partial; Shade,Wet; Medium-Wet; Medium,3,3,,August; September,Deer Resistant,C(60),"This attractive perennial grass has tufts of upright, sturdy, hairless stems of light green or almost blue-green color. Atop the tall stem is a dense, wavy inflorescence or whole flower head, which droops under the weight of the spikelets. During late summer bloom, it typically towers over other vegetation, its color evolving to light tan as the grains ripen. This grass is typically found in small vegetative colonies or as scattered individual plants in wet woodlands and damp thickets in fertile, loamy soil. Cinna arundinacea is native from Quebec and Maine to Ontario and Minnesota all the way south to Georgia, Tennessee, Texas and Arkansas. In Massachusetts and Vermont is has an at-risk conservation status. Taller, woodland grasses like Wood Reed Grass and Bottlebrush Grass are typically left alone by white-tailed deer and other herbivores as they prefer the understory shrubs and forbs. It may also be referred to as Stout Reed Grass."
Clematis ochroleuca,,,,,,,,,
Diarrhena americana,Partial; Shade,Medium-Wet; Medium; Medium-Dry,3,3,,July; August; September,Deer Resistant,C(60); G,"American Beak Grass, also called beak grain, is an excellent source of food for Wild Turkeys and other large birds and small mammels of the forest. Its most distinct characteristic is the large, blunt seeds, or grains that make this grass distinguisable from other grasses in the late-summer or early-fall. It's an attractive grass in the spring and summer with shiny green blades that turn golden tan in the fall. Its short stature make it ideal for landscaping or as a ground cover in shaded, rich soil areas. It can be used as a stream-bank stabilizing plant in difficult shaded areas; it can form large plant colonies in ideal conditions by the way of creeping rhizomes. It is also resistant to the juglone of Black Walnut trees."
Echinacea purpurea,,,,,,,,,
Echinops bannaticus 'Blue Glow',,,,,,,,,
Eragrostis elliottii 'Wind Dancer',,,,,,,,,
Eragrostis spectabilis,,,,,,,,,
Eryngium giganteum 'Miss Wilmott's Ghost',,,,,,,,,
Eryngium planum 'Blue Glitter',,,,,,,,,
Eutrochium maculatum,Full; Partial,Wet; Medium-Wet,5,5,Pink,July; August; September,Deer Resistant; Pollinators; Recommended but Aggressive,C(30); D,"Joe Pye Weed is a very tall plant, up to 6' in the best sun/soil conditions, but strong stems support the flowering plant so it rarely needs to be staked. These attractive stems are almost the same color as the dusty rose-colored flowers, which will bloom for many weeks in July and August, becoming absolute magnets for dozens of species of butterflies. Also called Spotted Joe Pye Weed, it is best planted in full to almost-full sun and rich, moist soils. It will spread so should be planted with caution in small landscape situations. If you love Joe Pye but have too much shade, try Sweet Joe Pye Weed (Eutrochium purpureum). It is very similar to Joe Pye in height, flower shape and color, but likes savanna and woodland conditions. Spring Potted Plants (3-packs and trays of 38) ship when all plants are well-rooted and transit-ready, early May through June. Click here if you prefer to mix/match up to 6 species in a tray."
Eutrochium pupureum,,,,,,,,,
Frasera caroliniensis,Full; Partial,Medium-Wet; Medium; Medium-Dry,1.5,1.5,White,May; June,Recommeded for Landscaping,M,"American Columbo is in the Gentian family. It is a monocarpic perennial meaning it dies after flowering. In this species' case, attractive basal leaves in a rosette pattern will persist for many years (sometimes 15 years or more!) before a flowering stalk will finally shoot up and reach heights of 8 feet! The stem is green to purple in color and the flowers themselves are light green to white and dotted with purple, with four petals and a central green ovary. The flowering photo shown here was taken after 11 years of patiently waiting!It is not a very common plant in the eastern part of North America. It is listed as threatened in New York and Endangered in Pennsylvania."
Galium odoratum,,,,,,,,,
Heirochloe odorata,,,,,,,,,
Heliotropum arborescens 'Marine',,,,,,,,,
Heliotropum arborescens 'Ogrodowy',,,,,,,,,
Hydrastis canadensis,Partial; Shade,Medium-Wet; Medium,1,1,White,May; June,Star,,"A native to mesic woods, Hydrastis canadensis (Goldenseal) prefers shade and moderately moist, rich soil. With its single red fruit, resembling a raspberry, H. canadensis grows to 12"" tall, with leaves hairy and toothed along the margins. The over collection of the root for medicinal use has led to steep reductions in native populations."
Jacobaea maritima,,,,,,,,,
Lavandula angustifolia 'Munstead',,,,,,,,,
Liatrus spicata,,,,,,,,,
Lobelia cardinalis,,,,,,,,,
Lobularia maritima 'Snow Crystals',,,,,,,,,
Lupinus perannis,,,,,,,,,
Maclura pomifera,,,,,,,,,
Maianthemum racemosa,,,,,,,,,
Mentha requienii,,,,,,,,,
Mertensia virginica,Partial; Shade,Medium-Wet; Medium,2,2,Blue,April; May,Deer Resistant; Recommeded for Landscaping,C(60); M,"One of the most beautiful species of spring ephemerals are Virginia bluebells (Mertensia virginica). These lovely plants are in the family Boraginaceae, which makes them relatives of other familiar species like Forget-me-not, Lungwort, and Comfrey. Bluebells enjoy rich, well-drained soils where they can form large colonies over time. Growing fast, the flower shoots quickly give way to some of the most beautiful flowers east of the Mississippi. The flowers start off pink and gradually turn over to their famous shade of light blue as they mature. Bees, especially female Bumblebees that fly in early spring, will often be seen visiting the flowers. Only the largest bees have the ability to push their way up the tube. The real champions of bluebell pollination are butterflies and moths. It is stunning to watch them perch delicately on the rim of the flower. A colony of bluebells is truly an amazing sight to behold! The blooms will last for many weeks in early spring (April and May) and will go dormant by mid-summer. Virginia Bluebells prefer soils typical of a woodland - a little on the wet side."
Muhlenbergia capillaris,,,,,,,,,
Nigella damascena 'Miss Jekyll' mix,,,,,,,,,
Oligoneuron album,Full,Medium-Dry; Dry,1,1,White,June; July; August; September,Deer Resistant; Pollinators; Recommeded for Landscaping,A,"Low-growing (1-2') with showy silver-white blossoms in autumn, Oligoneuron album (Upland White Goldenrod) thrives on dry, sandy soils. In the Mississippi Valley, it can be found growing in the shallow soils on rocky bluff tops. Formerly called Aster ptarmicoides, its very Solidago-like stems befits its genus reclassification. Since being called Solidago ptarmicoides, the genus has changed again to Oligoneuron. Many species have been reclassified as it has become cheaper to do genetic analyses of different species."
Oligoneuron rigidum,Full; Partial,Medium-Wet; Medium; Medium-Dry; Dry,4,4,Yellow,August; September; October,Deer Resistant; Pollinators; Recommended but Aggressive,C(60),"Stiff Goldenrod has larger, flatter flower clusters than most Goldenrods. The leaves turn nice shades of red in the fall. For a colorful fall show, plant Stiff Goldenrod with other fall bloomers such as Button Blazing Star, Little Bluestem, New England Aster and Sweet Black-eyed Susan. As for common names, you may hear it referred to as Rigid Goldenrod or Prairie Goldenrod. Another botanical name is Solidago rigida. On many sites Stiff Goldenrod can be a prolific self seeder. It does well in a broad range of soil conditions so on small sites or in home garden/landscapes removal of the seed head before the seed is ripe is preferable to weeding unwanted seedlings. Whatever your preference or situation may be, there is a goldenrod to suit all occasions. Sadly, goldenrods often get blamed for causing the dreaded hayfever. This is simply not true. Their pollen is quite large and sticky to better adhere to the body of visiting insects. Because of this, goldenrod pollen cannot become airborne and can never make its way into your sinuses. The true cause of hayfever is the wind pollinated ragweeds, which broadcast copious amounts of lightweight pollen into the air. We cannot stress enough how important goldenrods are on the landscape. Including them on your property will provide ecosystem services well into the fall when most other plant life is shutting down."
Osmorhiza claytonii,Shade,Medium-Wet; Medium; Medium-Dry,2,2,White,May; June,,C(60),"Sweet Cicely is a perennial that is part of the carrot family. It grows in the wild in mesic forests and on wooded slopes. The white flowers of this plant can be found at the top clustered into four to seven flowers each. The leaves resemble ferns; dark green leaves are compounded in threes one or two times and have serrated edges. All surfaces of Sweet Cicely are hairy, especially on veins on the underside of the leaves. Towards the end of the season dry brown seeds appear that split into two when ripe. This plant would be a good addition to a woodland garden as it thrives in the shade and in wetter soils. Sweet Cicely also attracts beneficial insects that will become food for small mammals and birds. The roots, when dug, are said to give off an anise-like flavor.  "
Osmorhiza longistylis,Partial; Shade,Medium-Wet; Medium,2,2,White,May; June,,C(60),"Often confused with Sweet Cicely (Osmorhiza claytonii), Aniseroot is distinguishable by the larger number of white flowers per umbellet (7-16) and the pleasant anise (licorice) smell that emits from the root or crushed leaves. historically it was used as a treatment for digestive disorders and as an antiseptic wash for a range of ailments. Osmorhiza longistylis can grow up to 2’ in medium, medium-wet soils, under shade or partial sun. The seed are slightly prickly and often cling to animals and the cloths of humans, which helps in the dispersal of the seeds."
Packera anonyma,,,,,,,,,
Passiflora incarnata,,,,,,,,,
Pedicularis canadensis,Full; Partial,Medium-Wet; Medium; Medium-Dry; Dry,1,1,Yellow,April; May,Deer Resistant; Pollinators; Recommeded for Landscaping,C(30); K,"Wood Betony is a hemiparasitic species so even though it can photosynthesize it will often attach to a host plant, such as a short grass species (see Germination Code K on right). Wood Betony's leaves are red when emerging from the ground in early April (see corresponding photo). The yellow blooms look like a pinwheel when you view them from directly above and are a favorite of eary season bumblebees. Wood Betony can be easily identified by the early April-June bloom time and the preference for a somewhat dry or readily drained location. It is also called Canadian Lousewort."
Phlox divaricata,Partial; Shade,Medium-Wet; Medium; Medium-Dry,1,1,Blue,April; May; June,Pollinators; Recommeded for Landscaping,C(60),"This is a Phlox for shade or partial shade and medium to drier soils. Wild Blue Phlox is rhizomatous and will spread slowly but steadily. It is also commonly referred to as Blue Phlox, Woodland Phlox, or Louisiana Phlox. Some may call it Wild Sweet William, but that is the common name we give to Phlox maculata. The flowers, atop sticky stems, are slightly fragrant and range in color from pale blue to lavender to violet. Deer seem to have little interest in Phlox, but rabbits especially like Wild Blue. Dame's Rocket, an invasive, non-native plant in the mustard family is often confused as being a native Phlox. It blooms at relatively the same time as Phlox divaricata, P. pilosa, and P. maculata. The easiest way to distinuish Dame's Rocket is the four flower petals while true native Phlox have five petals. Dame's Rocket also has alternate leaves and Phlox has opposite leaves. *Seed of this species is kept under refrigeration (33-38 F) in our warehouse. A few days in transit to you in colder or warmer conditions won’t harm the seed, but it should be put back in refrigeration until you are ready to plant or apply pre-sowing treatment."
Podophyllum peltatum,,,,,,,,,
Polemonium reptans,Full; Partial; Shade,Medium-Wet; Medium; Medium-Dry,1,1,Blue,April; May; June,Deer Resistant; Pollinators; Recommeded for Landscaping,C(60),"Like many spring blooming natives, the bloom time on Jacob's Ladder is short but sweet. The few short weeks in April or May that the flowers appear, the plant will be covered in blooms that range from shades of pink to blue. Jacob's Ladder will grow in full sun if it has adequate moisture, but it prefers woodlands (almost full shade) and woodland edges (partial shade. ) A mature plant will only reach heights of 1' and is deer resistant. Other common names include Bluebell, Greek Valerian, and Skunk Weed. Jacob's Ladder could have many companion plants in a spring-blooming garden including Midland Shooting Star, Jack-in-the-Pulpit, and Virginia Bluebells. Spring potted plants (3-packs and trays of 38) ship when all plants are well-rooted and transit-ready, early May through June. Fall potted plants (3-packs) ship when all plants are well-rooted and transit-ready, late August through September. This species is also available as part of a 9-plant Pollinator Power Pack (spring or fall) or 38-plant Mix & Match Tray (spring only)."
Porophyllum ruderale,,,,,,,,,
Ruella humilis,,,,,,,,,
Sanguinaria canadensis,Partial; Shade,Medium-Wet; Medium; Medium-Dry,0.5,0.5,White,April; May,Deer Resistant; Star,F,"Bloodroot emerges from the ground in woodlands before the trees leaf out.   Plants display their beauty in 2 stages.   Stunning white blossoms appear for a very short time early spring, emitting a wonderful fragrance that attracts many kinds of early-flying bees.   At the flowering stage, a light green leaf is wrapped around the stem of the flower.   When the flower fades, the leaf opens in a very unique shape as large as 6"" in diameter.   Bloodroot will go dormant mid-summer."
Schizachyrium scoparium,Full; Partial,Medium; Medium-Dry; Dry,3,3,Blue; Green,July; August; September; October,Deer Resistant; Recommeded for Landscaping,A,"Pre-order now – This potted tray ships the week of May 17th, 2021. Little Bluestem is an iconic warm season grass of the prairie habitat that is commonly used in both landscaping and restoration projects. In shortgrass prairies, it is often the dominant species along with Side-oats Grama. In tallgrass prairies, companion grasses include Big Bluestem, Indian Grass, and Switch Grass. One of the most widely distributed species of grass in the US, Little Bluestem is very drought-tolerant, but it can do well in moist situations too. Farmers have used this species for hay, but consecutive years of haying will likely cause the species to disappear. In a garden setting, Little Bluestem is valued for its blue-green color in the summer and, after the first frost, it turns beautiful shades of brown, copper, and crimson that will remain all winter. The grass gets fluffy white seed heads that also adds seasonal interest. Some gardeners choose to remove the seed fluff to control the spread of young seedlings. Little Bluestem is an excellent plant for wildlife. Little Bluestem serves as the larval host for several skipper species including the Dusted Skipper, Cobweb Skipper, Ottoe Skipper, Indian Skipper, Swarthy Skipper, and the Crossline Skipper. Other insects that feed on Little Bluestem include grasshoppers, Prairie Walkingsticks, the leaf-mining beetles, thrips, spittlebugs, and leafhoppers. The seeds of this grass are eaten by songbirds. Little bluestem provides necessary overwintering habitat and resources for many insects and birds. Female bumble bee queens nest at the base of bunch grasses, like Little Bluestem, where they are protected until they emerge in the Spring. Other names for this plant include Andropogon scoparius and Beardgrass. Spring Potted Plants: 3-packs and trays of 38 ship when all plants are well-rooted and transit-ready, early May through June. Click here if you prefer to mix/match up to 6 species in a tray. Trays of 50 ship the week of May 17th. Each of the 50 plant cells are 5’ deep and 2. 25” wide. Fall Potted Plants (3-packs) ship when all plants are well-rooted and transit-ready (Late August – September)"
Scutellaria leonardii,Full; Partial,Medium-Dry; Dry,0.25,0.5,Purple,May; June,,C(60),"Small Skullcap or Leonard’s Skullcap is a member of the mint family. It is perfect for bordering gardens or filling in gaps because this plant loves to sprawl across the ground in dense mats. Flowers are small with blue-violet mottles on white, and in pairs with fine, glandless hairs on the outer surface. The opposing leaves are angled upward with a lance-like shape and toothless edges that curl under. The square stem provides a study support for the relatively short plant. Scutellaria leondardii is highly recommended in boulevard gardens because it reseeds and greatly benefits a wide range of pollinators. Occasionally, plants may not produce the blue speckled petals, forming instead a very small, closed white tube from which a cleistogamous (self-pollinating) flower will bloom. Some great companions of Small Skullcap are the beautiful Prairie Smoke, Pussytoes and Wild Petunia, which also establish well as garden borders."
Sisyrinchium albidum,Full; Partial,Medium-Dry; Dry,0.5,0.5,Blue,May; June,Recommeded for Landscaping,C(60); G; M,"Are you looking for a striking, unusual addition to your garden? Or a splash of color during the spring to summer transition? Consider the Blue-eyed Grasses (Sisyrinchium species)! What they lack in size they certainly make up for in beauty and tenacity. If you have a well drained site in your yard that receives lots of sun, these are the plants for you. This beautiful plant blooms a star-shaped flower that opens in the morning to reveal six blueish-purple petals and a yellow center, and then will close in the afternoon or evening. Despite their common name, the Blue-eyed Grasses are not grasses at all but rather members of the Iris family. They handle competition quite well and readily spread via underground rhizomes. A large patch of these little plants is truly a sight to behold, especially if you are a bee. Pollinators readily take to the flowers, which is nice considering that most Sisyrinchium species bloom and provide pollen and nectar to our winged friends before some of the larger summer flowers really get going. The petals even provide markings that are like runway signs for pollinators. Yellow is a favorite of bees and the yellow center of this flower is a perfect announcement of yummy treats within. The leaves of all Sisyrinchium plants are stiff, fan-like, and in deep green bunches that resemble grass with wider and unbranched stems. See also, Prairie Blue-eyed Grass and Stout Blue-eyed Grass."
Sisyrinchium angustifolium,Full; Partial,Medium-Wet; Medium; Medium-Dry,0.5,0.5,Blue,May; June,Recommeded for Landscaping,C(60),"Are you looking for a striking, unusual addition to your garden? Or a splash of color during the spring to summer transition? Consider the Blue-eyed Grasses (Sisyrinchium species)! What they lack in size they certainly make up for in beauty and tenacity. If you have a well drained site in your yard that receives lots of sun, these are the plants for you. This beautiful plant blooms a star-shaped flower that opens in the morning to reveal six pale blueish-purple petals and a yellow center, and then will close in the afternoon or evening. Despite their common name, the Blue-eyed Grasses are not grasses at all but rather members of the Iris family. They handle competition quite well and readily spread via underground rhizomes. A large patch of these little plants is truly a sight to behold, especially if you are a bee. Pollinators readily take to the flowers, which is nice considering that most Sisyrinchium species bloom and provide pollen and nectar to our winged friends before some of the larger summer flowers really get going. The petals even provide markings that are like runway signs for pollinators. Yellow is a favorite of bees and the yellow center of this flower is a perfect announcement of yummy treats within. The leaves of all Sisyrinchium plants are stiff, fan-like, and in deep green bunches that resemble grass with wider and unbranched stems."
Sporobolus heterolepsis,,,,,,,,,
"Stachys byzantina 'Pure Cotton, Simba'",,,,,,,,,
